title,servings,ingredient_name,quantity,unit
Chocolate Chip Cookies,4,Granulated Sugar,100,grams
Chocolate Chip Cookies,4,All-Purpose Flour,200,grams
Chocolate Chip Cookies,4,Unsalted Butter,100,grams
Chocolate Chip Cookies,4,Eggs,2,units
Simple Pancakes,2,All-Purpose Flour,150,grams
Simple Pancakes,2,Eggs,1,units
Simple Pancakes,2,Granulated Sugar,20,grams
Simple Pancakes,2,Whole Milk,200,ml
Simple Pancakes,2,Baking Powder,5,grams
Classic Scrambled Eggs,2,Eggs,4,units
Classic Scrambled Eggs,2,Unsalted Butter,15,grams
Classic Scrambled Eggs,2,Whole Milk,30,ml
Classic Scrambled Eggs,2,Kosher Salt,2,grams
Classic Scrambled Eggs,2,Black Pepper,1,grams
Tomato Basil Pasta,4,Spaghetti,400,grams
Tomato Basil Pasta,4,Crushed Tomatoes,800,grams
Tomato Basil Pasta,4,Fresh Basil,20,grams
Tomato Basil Pasta,4,Garlic,4,units
Tomato Basil Pasta,4,Olive Oil,45,ml
Classic Grilled Cheese,1,Sourdough Bread,2,units
Classic Grilled Cheese,1,Cheddar Cheese,60,grams
Classic Grilled Cheese,1,Unsalted Butter,20,grams
Banana Bread,8,Bananas,3,units
Banana Bread,8,All-Purpose Flour,250,grams
Banana Bread,8,Granulated Sugar,150,grams
Banana Bread,8,Unsalted Butter,115,grams
Banana Bread,8,Eggs,2,units
Banana Bread,8,Baking Soda,5,grams
Guacamole,4,Avocados,3,units
Guacamole,4,Limes,30,ml
Guacamole,4,Red Onions,50,grams
Guacamole,4,Roma Tomatoes,100,grams
Guacamole,4,Kosher Salt,5,grams
Lemon Vinaigrette,6,Olive Oil,120,ml
Lemon Vinaigrette,6,Lemons,40,ml
Lemon Vinaigrette,6,Dijon Mustard,10,grams
Lemon Vinaigrette,6,Honey,15,grams
Lemon Vinaigrette,6,Kosher Salt,3,grams
Garlic Mashed Potatoes,4,Russet Potatoes,900,grams
Garlic Mashed Potatoes,4,Heavy Cream,120,ml
Garlic Mashed Potatoes,4,Unsalted Butter,60,grams
Garlic Mashed Potatoes,4,Garlic,6,units
Garlic Mashed Potatoes,4,Kosher Salt,8,grams
Classic Caesar Salad,2,Romaine Lettuce,200,grams
Classic Caesar Salad,2,Caesar Dressing,60,ml
Classic Caesar Salad,2,Parmesan Cheese,30,grams
Classic Caesar Salad,2,Croutons,40,grams
